id;custom_exercise;exercise_name;equipment;muscle_group;exercise_group;main_muscle;auxiliary_muscles;size;metrics;bodyweight;notes
squats_BB;False;Squats;Barbell;Lower Body;Squat;;;;;;
squats_SMT;False;Squats;Smith machine;Lower Body;Squat;;;;;;
standingcalfraises_MCH;False;Standing Calf Raises;Machine;Lower Body;Calf Press;;;;;;
standingcalfraises_BW;False;Standing Calf Raises;Bodyweight;Lower Body;Calf Press;;;;;;
standingshoulderpress_BB;False;Standing Shoulder Press;Barbell;Upper Body;Shoulder Press;;;;;;
sumobeltsquats_MCH;True;Sumo Belt Squats;Machine;Lower Body;Squat;Quads;Abductors, Adductors, Glutes, Hams, Calves;Large exercise;Weight + reps;0%;
tricepspushdowns_CAB;False;Triceps Pushdowns;Cable;Upper Body;Triceps Extension;;;;;;
tricepspushdownswithrope_CAB;False;Triceps Pushdowns with Rope;Cable;Upper Body;Triceps Extension;;;;;;
typewriterpullups_BW;True;Typewriter pullups;Bodyweight;Upper Body;Pull-Up;Lats;Upper back, Abs, Biceps, Forearms;Medium exercise;Weight + reps;0%;
uprightrows_BB;False;Upright Rows;Barbell;Upper Body;Row;;;;;;
wallhandstandhold_BW;True;Wall Handstand Hold;Bodyweight;Upper Body;Pike;Front delts;Traps, Side delts, Chest, Abs, Triceps, Forearms, Lower back;Medium exercise;Duration;0%;
weightedlraises_BW;True;Weighted L Raises;Bodyweight;Core;Leg Raise;Abs;-;Medium exercise;Weight + reps;100%;
