custom_exercise,exercise_name,equipment,muscle_group,exercise_group,main_muscle,auxiliary_muscles,size,metrics,bodyweight,notes
FALSE,Chest Press,Machine,Upper Body,Chest Press,Chest,,,,,
FALSE,Chest-Supported Low Rows with Neutral Grip,Machine,Upper Body,Row,Upper back,,,,,
FALSE,Chest-Supported Rows with Wide Grip,Machine,Upper Body,Row,Upper back,,,,,
FALSE,Concentration Curls,Dumbbells,Upper Body,Biceps Curl,Biceps,,,,,
FALSE,Crunch Machine,Machine,Core,Ab Crunch,Abs,,,,,
FALSE,Curls,Barbell,Upper Body,Biceps Curl,Biceps,,,,,
FALSE,Curls,Cable,Upper Body,Biceps Curl,Biceps,,,,,
FALSE,Curls,Dumbbells,Upper Body,Biceps Curl,Biceps,,,,,
FALSE,Curls,EZ bar,Upper Body,Biceps Curl,Biceps,,,,,
FALSE,Decline Crunches,Bodyweight,Core,Ab Crunch,Abs,,,,,
FALSE,Dips,Bodyweight,Upper Body,Dip,Triceps,,,,,
FALSE,Double Crunch Machine,Machine,Core,Ab Crunch,Abs,,,,,
FALSE,Dragon Flag,Bodyweight,Core,Other,Abs,,,,,
FALSE,Flys,Cable,Upper Body,Fly,Chest,,,,,
FALSE,Flys,Dumbbells,Upper Body,Fly,Chest,,,,,
FALSE,Forward Lunges,Dumbbells,Lower Body,Lunge,Glutes,,,,,
FALSE,Front Raises,Barbell,Upper Body,Front Raise,Front delts,,,,,
FALSE,Front Raises,Dumbbells,Upper Body,Front Raise,Front delts,,,,,
FALSE,Goblet Squats,Dumbbells,Lower Body,Squat,Quads,,,,,
FALSE,Hanging Leg Raises,Bodyweight,Core,Leg Raise,Abs,,,,,
FALSE,Hip Abduction,Cable,Lower Body,Hip Abduction,Abductors,,,,,
FALSE,Hip Abduction,Machine,Lower Body,Hip Abduction,Abductors,,,,,
FALSE,Hip Adduction,Cable,Lower Body,Hip Abduction,Abductors,,,,,
FALSE,Hip Adduction,Machine,Lower Body,Hip Abduction,Abductors,,,,,
FALSE,Hip Thrusts,Barbell,Lower Body,Hip Thrust,Glutes,,,,,
FALSE,Incline Bench Press,Barbell,Upper Body,Chest Press,Chest,,,,,
FALSE,Incline Bench Press,Dumbbells,Upper Body,Chest Press,Chest,,,,,
FALSE,Incline Reverse Flys,Dumbbells,Upper Body,Reverse Fly,Rear delts,,,,,
FALSE,Incline Rows,Dumbbells,Upper Body,Row,Upper back,,,,,
FALSE,Inverted Rows on Smith Machine,Bodyweight,Upper Body,Row,Upper back,,,,,
FALSE,Inverted Rows on Smith Machine with Reverse Grip,Bodyweight,Upper Body,Row,Upper back,,,,,
FALSE,Kneeling Crunches,Cable,Core,Ab Crunch,Abs,,,,,
FALSE,Lat Pulldowns with Close Neutral Grip,Cable,Upper Body,Pulldown,Lats,,,,,
FALSE,Lat Pulldowns with Wide Neutral Grip,Cable,Upper Body,Pulldown,Lats,,,,,
FALSE,Lat Pulldowns with Wide Overhand Grip,Cable,Upper Body,Pulldown,Lats,,,,,
FALSE,Lateral Raises,Cable,Upper Body,Lateral Raise,Side delts,,,,,
FALSE,Lateral Raises,Dumbbells,Upper Body,Lateral Raise,Side delts,,,,,
FALSE,Lean Away Lateral Raises,Cable,Upper Body,Lateral Raise,Side delts,,,,,
FALSE,Leg Curls on Leg Extension Machine,Machine,Lower Body,Leg Curl,Hams,,,,,
FALSE,Leg Extensions,Machine,Lower Body,Leg Extension,Quads,,,,,
FALSE,Leg Press,Machine,Lower Body,Leg Press,Quads,,,,,
FALSE,Leg Raises,Bodyweight,Core,Leg Raise,Abs,,,,,
FALSE,Lying Leg Curls,Machine,Lower Body,Leg Curl,Hams,,,,,
FALSE,One-Arm Rows,Dumbbells,Upper Body,Row,Upper back,,,,,
FALSE,Overhead Triceps Extensions,Dumbbells,Upper Body,Triceps Extension,Triceps,,,,,
FALSE,Pistol Squats,TRX,Lower Body,Squat,Quads,,,,,
FALSE,Plank,Bodyweight,Core,Plank,Abs,,,,,
