workout_id;exercise_number;exercise_name;equipment;reps_goal;set_number;weigth;quantity;measure;comments
202408071639;5;Pseudo Planche Lean iso;Bodyweight;;2;;6;secs;"""Um palmo abaixo da linha do ombro"""
202408071639;5;Pseudo Planche Lean iso;Bodyweight;;3;;6;secs;"""Um palmo abaixo da linha do ombro"""
202408061717;1;Pull-Ups with Wide Overhand Grip;Bodyweight;10 reps;1;+0;10;reps;[]
202408061717;1;Pull-Ups with Wide Overhand Grip;Bodyweight;10 reps;2;+0;5;reps;[]
202408061717;1;Pull-Ups with Wide Overhand Grip;Bodyweight;10 reps;3;+0;4;reps;[]
202408061717;2;Inverted Rows on Smith Machine with Reverse Grip;Bodyweight;10 reps;1;+0;7;reps;"""Na parede, nos equipamentos novos"""
202408061717;2;Inverted Rows on Smith Machine with Reverse Grip;Bodyweight;10 reps;2;+0;7;reps;"""Na parede, nos equipamentos novos"""
202408061717;2;Inverted Rows on Smith Machine with Reverse Grip;Bodyweight;10 reps;3;+0;6;reps;"""Na parede, nos equipamentos novos"""
202408061717;3;Rows with Wide Neutral Grip;Cable;10 reps;1;50;10;reps;[]
202408061717;3;Rows with Wide Neutral Grip;Cable;10 reps;2;50;10;reps;[]
202408061717;3;Rows with Wide Neutral Grip;Cable;10 reps;3;50;12;reps;[]
202408061717;4;Pullovers;Cable;10 reps;1;50;8;reps;[]
202408061717;4;Pullovers;Cable;10 reps;2;50;8;reps;[]
202408061717;4;Pullovers;Cable;10 reps;3;50;8;reps;[]
202408061717;5;Curls;Barbell;10 reps;1;22;10;reps;[]
202408061717;5;Curls;Barbell;10 reps;2;22;10;reps;[]
202408061717;5;Curls;Barbell;10 reps;3;22;5;reps;[]
202408061717;6;L sit hold iso;Bodyweight;30 sec;1;;10;secs;[]
202408061717;6;L sit hold iso;Bodyweight;30 sec;2;;8;secs;[]
202408061717;6;L sit hold iso;Bodyweight;30 sec;3;;5;secs;[]
202408021518;1;Leg Press;Machine;10 reps;1;194;12;reps;[]
202408021518;1;Leg Press;Machine;10 reps;2;194;12;reps;[]
202408021518;1;Leg Press;Machine;10 reps;3;200;11;reps;[]
202408021518;2;Leg Curls on Leg Extension Machine;Machine;10 reps;1;26;10;reps;[]
202408021518;2;Leg Curls on Leg Extension Machine;Machine;10 reps;2;26;10;reps;[]
202408021518;2;Leg Curls on Leg Extension Machine;Machine;10 reps;3;26;8;reps;[]
202408021518;3;Seated Calf Raises;Machine;10 reps;1;62;10;reps;[]
202408021518;3;Seated Calf Raises;Machine;10 reps;2;62;8;reps;[]
202408021518;3;Seated Calf Raises;Machine;10 reps;3;62;10;reps;[]
202408021518;4;Hip Abduction;Cable;10 reps;1;17;12;reps;[]
