custom_exercise;exercise_name;equipment;muscle_group;exercise_group;main_muscle;auxiliary_muscles;size;metrics;bodyweight;notes
False;Hip Abduction;Machine;;;;;;;;
False;Hip Adduction;Cable;;;;;;;;
False;Hip Adduction;Machine;;;;;;;;
False;Hip Thrusts;Barbell;;;;;;;;
False;Incline Bench Press;Barbell;;;;;;;;
False;Incline Bench Press;Dumbbells;;;;;;;;
False;Incline Reverse Flys;Dumbbells;;;;;;;;
False;Incline Rows;Dumbbells;;;;;;;;
False;Inverted Rows on Smith Machine;Bodyweight;;;;;;;;
False;Inverted Rows on Smith Machine with Reverse Grip;Bodyweight;;;;;;;;
False;Kneeling Crunches;Cable;;;;;;;;
False;Lat Pulldowns with Close Neutral Grip;Cable;;;;;;;;
False;Lat Pulldowns with Wide Neutral Grip;Cable;;;;;;;;
False;Lat Pulldowns with Wide Overhand Grip;Cable;;;;;;;;
False;Lateral Raises;Cable;;;;;;;;
False;Lateral Raises;Dumbbells;;;;;;;;
False;Lean Away Lateral Raises;Cable;;;;;;;;
False;Leg Curls on Leg Extension Machine;Machine;;;;;;;;
False;Leg Extensions;Machine;;;;;;;;
False;Leg Press;Machine;;;;;;;;
False;Leg Raises;Bodyweight;;;;;;;;
False;Lying Leg Curls;Machine;;;;;;;;
False;One-Arm Rows;Dumbbells;;;;;;;;
False;Overhead Triceps Extensions;Dumbbells;;;;;;;;
False;Pistol Squats;TRX;;;;;;;;
False;Plank;Bodyweight;;;;;;;;
False;Preacher Curls;Machine;;;;;;;;
False;Pull-Ups with Close Neutral Grip;Bodyweight;;;;;;;;
False;Pull-Ups with Wide Overhand Grip;Bodyweight;;;;;;;;
False;Pullovers;Cable;;;;;;;;
False;Push-Ups;Bodyweight;;;;;;;;
False;Reverse Butterfly with Wide Grip;Machine;;;;;;;;
False;Romanian Deadlifts;Barbell;;;;;;;;
False;Rows with Close Grip;Cable;;;;;;;;
False;Rows with Close Grip;TRX;;;;;;;;
False;Rows with Reverse Grip;Cable;;;;;;;;
False;Rows with Wide Neutral Grip;Cable;;;;;;;;
False;Russian Swings;Kettlebells;;;;;;;;
False;Russian Twists;Bodyweight;;;;;;;;
False;Seated Calf Raises;Machine;;;;;;;;
False;Seated Curls;Dumbbells;;;;;;;;
False;Seated Lateral Raises;Dumbbells;;;;;;;;
False;Seated Leg Curls;Machine;;;;;;;;
False;Seated Shoulder Press;Barbell;;;;;;;;
False;Seated Shoulder Press;Dumbbells;;;;;;;;
False;Shoulder Press;Machine;;;;;;;;
False;Side Bends on Roman Chair;Bodyweight;;;;;;;;
False;Side Plank;Bodyweight;;;;;;;;
False;Side Split Squats;Dumbbells;;;;;;;;
False;Skull Crushers;Cable;;;;;;;;
False;Skull Crushers;EZ bar;;;;;;;;
False;Squats;Barbell;;;;;;;;
False;Squats;Smith machine;;;;;;;;
False;Standing Calf Raises;Bodyweight;;;;;;;;
False;Standing Calf Raises;Machine;;;;;;;;
False;Standing Shoulder Press;Barbell;;;;;;;;
False;Triceps Pushdowns;Cable;;;;;;;;
False;Triceps Pushdowns with Rope;Cable;;;;;;;;
False;Upright Rows;Barbell;;;;;;;;
