
"PerGlu · Day 3 · Week 5 · Verão · Deload";"2024-10-30 16:32 h";"1:16 hr"
"4. Plank · Bodyweight"
#;MINS
1;1
2;1
3;1
4;1
"5. Rows with Close Grip · TRX · 10 reps";"Altura do quadril"
#;REPS
1;12
2;7

"PerGlu · Day 3 · Week 2 · Jampa · Deload";"2024-09-26 16:19 h";"1 hr"
"1. Leg Press · Machine · 12 reps"
#;KG;REPS
1;200;12
2;200;12
3;200;15
"2. Seated Leg Curls · Machine · 12 reps"
#;KG;REPS
1;60;12
2;60;12
3;60;12
"3. L Raises · Bodyweight · 10 reps"
#;REPS
1;12
2;12
3;12
"4. Hip Abduction · Machine · 12 reps"
#;KG;REPS
1;60;10
2;56;12
3;56;12
"5. Leg Extensions · Machine · 12 reps"
#;KG;REPS
1;65;12
2;65;12
3;65;12

"PeiTriOm · Day 2 · Week 2 · Jampa · Deload";"2024-09-24 17:24 h";"50 min"
"1. Bench Press · Dumbbells · 12 reps"
#;KG;REPS
1;18;12
2;18;12
3;18;12
"2. Incline Bench Press · Dumbbells · 10 reps"
#;KG;REPS
1;12;15
2;12;15
3;12;11
"3. Triceps Pushdowns · Cable · 12 reps"
#;KG;REPS
1;16;12
2;16;12
3;16;11
"4. Lateral Raises · Dumbbells · 12 reps"
#;KG;REPS
1;9;12
2;9;12
3;9;11
"5. Pseudo Push-Ups · Bodyweight · 12 reps"
#;REPS
1;7

"CosBi · Day 1 · Week 2 · Jampa · Deload";"2024-09-23 17:05 h";"49 min"
"1. Lat Pulldowns with Wide Overhand Grip · Cable · 12 reps"
#;KG;REPS
1;50;12
2;50;12
3;50;12
"2. Chest-Supported Low Rows with Neutral Grip · Machine · 12 reps"
#;KG;REPS
1;50;10
2;50;10
3;50;12
"3. Reverse Butterfly with Wide Grip · Machine · 12 reps";"Bluefit jampa"
#;KG;REPS
1;25;8
2;20;12
3;20;13
"4. Curls · Dumbbells · 12 reps"
#;KG;REPS
1;10;12
2;10;12
3;10;15
"5. L Raises · Bodyweight · 10 reps";"G1 Jampa. Naquele equipamento de Abdominal na paralela com as costas apoiadas"
#;REPS
1;12
2;11
3;9

