
"4. Pullovers · Cable";"3 sets";"12 reps"
"5. Seated Curls · Dumbbells";"3 sets";"12 reps"
"6. L-Sit Hold · Bodyweight";"3 sets";"30 sec"
"Day 2 · PeiTriOm"
"1. Chest Press · Machine";"3 sets";"12 reps"
"2. Incline Bench Press · Barbell";"3 sets";"12 reps"
"3. Dips · Bodyweight";"3 sets";"12 reps"
"4. Seated Lateral Raises · Dumbbells";"3 sets";"12 reps"
"5. Pike Push-Ups · Bodyweight";"3 sets";"12 reps"
"6. Pseudo Planche Lean - Iso · Bodyweight";"3 sets"
"Day 3 · PerGlu"
"1. Leg Press · Machine";"3 sets";"12 reps"
"2. Leg Curls on Leg Extension Machine · Machine";"3 sets";"12 reps"
"3. Seated Calf Raises · Machine";"3 sets";"12 reps"
"4. Hip Abduction · Cable";"3 sets";"12 reps"
"5. Leg Extensions · Machine";"3 sets";"12 reps"
"6. Seated Leg Curls · Machine";"3 sets";"12 reps"

"Caseiro · 3 weeks";2024-07-23
"Day 1 · Day 1"
"1. Pull-Ups with Close Overhand Grip · Bodyweight";"3 sets";"10 reps"
"Day 2 · Day 2"
"1. Skin the cat · Bodyweight";"3 sets";"10 reps"
"Day 3 · Day 3"
"1. Inverted Rows on Smith Machine with Reverse Grip · Bodyweight";"3 sets";"10 reps"

"Voltando · 6 weeks";2024-07-08
"Day 1 · CosBi"
"1. Pull-Ups with Wide Overhand Grip · Bodyweight";"3 sets";"10 reps"
"2. Inverted Rows on Smith Machine with Reverse Grip · Bodyweight";"3 sets";"10 reps"
"3. Incline Reverse Flys · Dumbbells";"3 sets";"10 reps"
"4. Pullovers · Cable";"3 sets";"10 reps"
"5. Curls · Barbell";"3 sets";"10 reps"
"6. L-Sit Hold · Bodyweight";"3 sets";"30 sec"
"Day 2 · PeiTriOm"
"1. Incline Archer Push-Ups · Bodyweight";"3 sets";"10 reps"
"2. Incline Bench Press · Barbell";"3 sets";"10 reps"
"3. Dips · Bodyweight";"3 sets";"10 reps"
"4. Seated Lateral Raises · Dumbbells";"3 sets";"10 reps"
"5. Pike Push-Ups · Bodyweight";"3 sets";"10 reps"
"6. Pseudo Planche Lean - Iso · Bodyweight";"3 sets"
"Day 3 · PerGlu"
"1. Leg Press · Machine";"3 sets";"10 reps"
"2. Leg Curls on Leg Extension Machine · Machine";"3 sets";"10 reps"
"3. Seated Calf Raises · Machine";"3 sets";"10 reps"
"4. Hip Abduction · Cable";"3 sets";"10 reps"
"5. Leg Extensions · Machine";"3 sets";"10 reps"
"6. Seated Leg Curls · Machine";"3 sets";"10 reps"

"Calistenia1 · 6 weeks";2024-05-19
"Day 1 · CosBi"
"1. Pull-Ups with Wide Overhand Grip · Bodyweight";"4 sets";"10 reps"
"2. Skin the cat · Bodyweight";"4 sets";"10 reps"
"3. Inverted Rows on Smith Machine with Reverse Grip · Bodyweight";"4 sets";"10 reps"
"4. Seated Curls · Dumbbells";"4 sets";"10 reps"
"5. Hanging Knee Tuck - iso · Bodyweight";"4 sets"
"Day 2 · PeiTriOm"
"1. Pike Push-Ups · Bodyweight";"4 sets";"10 reps"
"2. Explosive Push-Ups · Bodyweight";"4 sets";"10 reps"
